# lambba_val.val 0.1250
#time (ps)      gradients (kcal/mol*lam)
0.000            18.5283016633
200.000            17.9799993941
400.000            18.3341031769
600.000            19.0173102183
800.000            19.0056879520
1000.000            18.6170752458
1200.000            18.8217548886
1400.000            18.2487529241
1600.000            19.3375083366
1800.000            18.7846745986
2000.000            18.4138240807
2200.000            18.7481770497
2400.000            18.5723854612
2600.000            18.8520982242
2800.000            18.0021927749
3000.000            17.7319978991
3200.000            18.1842094402
3400.000            18.9781410265
3600.000            18.6045698839
3800.000            18.4054634330
4000.000            18.5293693598
4200.000            18.4905610085
4400.000            18.4077687798
4600.000            18.8766780742
4800.000            18.6325881851
5000.000            18.8769503205
5200.000            18.5241262317
5400.000            18.9107891539
5600.000            18.4865134870
5800.000            19.1764329919
6000.000            18.6076572198
6200.000            18.7742437879
6400.000            19.1243958187
6600.000            18.8221300797
6800.000            18.8015153242
7000.000            18.6405589946
7200.000            18.7081372746
7400.000            18.2021534423
7600.000            18.4106792238
7800.000            18.7628813149
8000.000            18.5947758366
8200.000            18.7018654101
8400.000            18.3977973662
8600.000            18.8154701560
8800.000            18.2117884470
9000.000            18.5633729286
9200.000            18.7168659974
9400.000            18.7172384607
9600.000            18.9233074432
9800.000            18.4084441475
10000.000            18.0684044864
10200.000            18.2639252442
10400.000            18.2958042126
10600.000            18.7174309485
10800.000            18.9912429464
11000.000            18.4033313608
11200.000            19.3607412464
11400.000            18.6940099984
11600.000            18.5655591417
11800.000            18.7965757528
12000.000            18.5013435868
12200.000            18.7591398407
12400.000            18.9087780537
12600.000            18.4528738423
12800.000            18.6075293690
13000.000            18.9913254327
13200.000            18.8057148316
13400.000            18.8398811196
13600.000            18.7794195512
13800.000            18.5796660780
14000.000            18.2972246848
14200.000            18.4172184127
14400.000            18.9204023362
14600.000            18.5516798581
14800.000            18.5577369380
15000.000            18.3408219262
15200.000            18.9357022699
15400.000            18.7909883289
15600.000            18.6392147229
15800.000            18.8342491614
16000.000            18.8081997981
16200.000            18.5714132377
16400.000            18.5707619458
16600.000            18.6376659255
16800.000            18.7404775970
17000.000            18.6334483909
17200.000            18.7943340942
17400.000            18.5404069281
17600.000            18.3288458761
17800.000            18.6081504179
18000.000            18.0879663111
18200.000            18.6515721906
18400.000            18.5831388639
18600.000            18.7058541653
18800.000            18.4226610853
19000.000            18.6272520746
19200.000            18.6490270939
19400.000            18.7893000579
19600.000            18.7884013071
19800.000            18.7430102407
20000.000            18.6930939320
20200.000            18.4511699754
20400.000            19.3694012998
20600.000            18.7824462825
20800.000            18.6972216864
21000.000            18.9412402969
21200.000            18.3224566569
21400.000            18.6299138737
21600.000            18.3494062535
21800.000            18.7196374422
22000.000            19.2250981299
22200.000            18.7659250060
22400.000            17.8587410937
22600.000            18.1660123457
22800.000            18.2925720661
23000.000            18.5063831973
23200.000            18.6996304524
23400.000            19.3201221696
23600.000            18.7881731800
23800.000            18.8681545887
24000.000            19.4210370713
24200.000            18.2220758703
24400.000            18.7151862063
24600.000            19.2572843316
24800.000            18.3485382794
25000.000            18.8919627085
25200.000            19.1642074667
25400.000            18.4617254940
25600.000            19.1746759329
25800.000            18.9400171751
26000.000            18.6149917403
26200.000            18.6945197412
26400.000            18.9145314583
26600.000            18.3195628762
26800.000            18.5351768460
27000.000            18.7740916241
27200.000            19.0018524873
27400.000            18.5899079589
27600.000            18.1635269641
27800.000            18.2323488244
28000.000            18.3612913967
28200.000            18.8542271535
28400.000            17.7695964118
28600.000            18.4662418413
28800.000            18.4800117164
29000.000            18.3474185768
29200.000            18.7745757493
29400.000            18.4007448134
29600.000            18.6023132817
29800.000            19.0166494384
30000.000            18.3541791919
30200.000            18.4538228795
30400.000            18.5058280307
30600.000            18.1024901264
30800.000            18.6505255456
31000.000            18.4353593501
31200.000            18.1152598477
31400.000            18.0355107171
31600.000            18.3251387366
31800.000            18.2683258972
32000.000            18.5768358076
32200.000            18.6872110755
32400.000            18.2703314232
32600.000            18.7407756981
32800.000            18.7611467306
33000.000            18.6414688938
33200.000            18.6153508611
33400.000            18.3480508334
33600.000            19.0432381352
33800.000            18.4917712029
34000.000            18.3343517625
34200.000            18.5893278270
34400.000            18.7065626224
34600.000            18.6496909574
34800.000            18.8142559885
35000.000            18.8128640396
35200.000            18.6097959929
35400.000            18.7484934152
35600.000            18.8808098610
35800.000            18.7423984426
36000.000            18.5155169391
36200.000            19.3059833299
36400.000            18.7224017117
36600.000            18.3453502521
36800.000            18.5593552350
37000.000            18.5573136546
37200.000            18.7832946876
37400.000            18.6741991137
37600.000            18.4931498093
37800.000            18.7404981148
38000.000            18.9720447493
38200.000            18.5693186431
38400.000            19.1556424119
38600.000            19.1473584391
38800.000            19.2246490510
39000.000            18.6752214457
39200.000            18.6754324351
39400.000            18.6942568643
39600.000            18.1051190140
39800.000            18.7263966934
40000.000            18.7781051074
40200.000            19.0758544991
40400.000            18.5142430565
40600.000            18.9063819779
40800.000            19.1208927305
41000.000            18.8419036054
41200.000            18.7618729777
41400.000            19.0653644477
41600.000            18.2133466138
41800.000            18.7959724346
42000.000            19.0395512763
42200.000            18.5828091559
42400.000            19.1981866039
42600.000            18.9627670864
42800.000            18.3395632837
43000.000            18.6851961801
43200.000            18.9527441411
43400.000            18.5741811245
43600.000            18.5715798707
43800.000            18.5561034602
44000.000            18.9832274840
44200.000            18.8892551891
44400.000            18.3972497900
44600.000            18.6885188184
44800.000            19.0396635312
45000.000            18.9402720465
45200.000            18.8691949479
45400.000            18.4958441641
45600.000            18.5773345206
45800.000            18.9167482702
46000.000            18.9114198687
46200.000            18.4283737508
46400.000            17.6857521418
46600.000            18.1883810766
46800.000            18.2005054953
47000.000            18.6905987659
47200.000            18.7815970472
47400.000            18.2295425705
47600.000            18.5632312609
47800.000            18.4204158687
48000.000            18.4885621834
48200.000            18.6820732049
48400.000            18.6935626985
48600.000            18.4932037130
48800.000            18.2718178370
49000.000            18.5127513057
49200.000            18.1925691984
49400.000            18.4973885140
49600.000            18.8584467043
49800.000            19.1467647275
50000.000            18.6830080101
50200.000            18.6390668287
50400.000            18.1750200157
50600.000            18.7834185060
50800.000            18.7261513100
51000.000            18.9403379881
51200.000            18.4588435733
51400.000            18.5036393863
51600.000            18.9801664773
51800.000            18.3641286645
52000.000            18.6501026773
52200.000            19.0368261448
52400.000            18.5923173772
52600.000            18.3032835437
52800.000            18.1340284756
53000.000            18.4467980236
53200.000            18.1797020472
53400.000            18.5339259125
53600.000            18.7435667712
53800.000            19.0696851643
54000.000            18.6359807974
54200.000            19.4502499710
54400.000            18.6698084231
54600.000            18.6197139179
54800.000            18.8212514316
55000.000            18.4872281706
55200.000            18.9744196550
55400.000            18.6316935260
55600.000            18.2171727091
55800.000            18.6298775821
56000.000            18.4309986060
56200.000            18.5134428030
56400.000            18.5748601688
56600.000            18.5071528520
56800.000            18.6614451069
57000.000            18.5492372318
57200.000            18.3334161864
57400.000            18.2954354852
57600.000            18.6775275041
57800.000            18.5997336724
58000.000            18.4222110576
58200.000            18.6203270206
58400.000            18.3906341634
58600.000            18.4562086964
58800.000            18.8194495418
59000.000            18.9079584091
59200.000            18.6704723459
59400.000            18.4864368121
59600.000            18.9796417316
59800.000            18.0961024490
60000.000            18.3526606968
60200.000            18.2075047336
60400.000            18.6477919342
60600.000            18.4045196735
60800.000            18.7852342127
61000.000            18.6668917526
61200.000            18.4217182746
61400.000            18.6873924149
61600.000            18.8127998770
61800.000            19.0876833073
62000.000            18.5032098764
62200.000            18.2726565169
62400.000            18.9125932378
62600.000            18.7928614973
62800.000            18.6333180495
63000.000            18.8427154224
63200.000            18.9883953604
63400.000            18.5786384090
63600.000            18.9806819722
63800.000            19.1747932876
64000.000            18.6642749029
64200.000            18.7081220938
64400.000            19.1420047165
64600.000            18.5235724290
64800.000            18.4807945950
65000.000            18.7471397741
65200.000            18.5380311329
65400.000            18.6715648891
65600.000            18.9461527089
65800.000            18.1684378343
66000.000            18.8786024778
66200.000            18.5608309748
66400.000            18.5166780924
66600.000            18.5902688587
66800.000            18.5383974290
67000.000            18.4115075855
67200.000            18.6860863324
67400.000            18.7526405607
67600.000            19.0258509008
67800.000            18.8258936135
68000.000            18.7257081018
68200.000            18.6978124923
68400.000            18.1805031902
68600.000            18.7339464136
68800.000            18.7479752518
69000.000            18.3504292971
69200.000            18.7779897096
69400.000            18.7402470386
69600.000            18.7529385432
69800.000            18.6154863616
70000.000            18.7708612566
70200.000            18.5376969774
70400.000            18.3071773596
70600.000            18.3951520525
70800.000            18.4329711019
71000.000            18.7842242744
71200.000            18.8246940338
71400.000            18.8323062562
71600.000            18.5504768390
71800.000            18.8009682817
72000.000            18.6662681538
72200.000            18.5181212765
72400.000            18.6801902520
72600.000            18.5904640150
72800.000            18.5167654413
73000.000            18.5982686659
73200.000            18.7826659890
73400.000            18.8373538722
73600.000            18.6364566206
73800.000            18.6056597586
74000.000            18.7077388972
74200.000            18.9224742189
74400.000            18.6886440007
74600.000            18.4203900139
74800.000            18.6811660335
75000.000            19.0389729234
75200.000            19.0830794332
75400.000            18.7618961640
75600.000            19.0591215809
75800.000            19.4797841581
76000.000            18.7891908866
76200.000            18.4323303654
76400.000            19.0693884271
76600.000            18.7137770604
76800.000            18.4452652372
77000.000            18.6581509919
77200.000            18.8418674917
77400.000            18.3579963922
77600.000            18.5083528468
77800.000            18.7743496384
78000.000            18.7042064555
78200.000            18.8470918217
78400.000            19.0735268555
78600.000            18.8703679019
78800.000            18.6839946435
79000.000            18.5343739240
79200.000            18.3413138197
79400.000            18.7280078744
79600.000            18.6026352214
79800.000            18.8051262198
80000.000            18.9458978375
80200.000            18.4569213638
80400.000            18.3031498815
80600.000            18.4462910086
80800.000            18.7939005519
81000.000            19.0604701222
81200.000            19.0675749145
81400.000            19.1336694492
81600.000            18.5905384365
81800.000            18.4895638197
82000.000            18.5817709908
82200.000            18.3655207320
82400.000            18.6588928942
82600.000            18.7607924724
82800.000            18.5668878175
83000.000            18.7185076586
83200.000            18.4993414409
83400.000            18.7687042784
83600.000            19.1903222972
83800.000            19.0819570621
84000.000            18.9411355731
84200.000            18.5375588677
84400.000            18.6156351453
84600.000            19.1662508261
84800.000            18.7731481611
85000.000            19.1165194741
85200.000            18.9021343782
85400.000            19.0583088744
85600.000            18.6233401722
85800.000            18.0976842172
86000.000            18.6782341822
86200.000            18.5697156566
86400.000            18.4716131760
86600.000            18.6369441259
86800.000            18.5157735895
87000.000            18.4014020353
87200.000            18.5203428917
87400.000            18.5338380299
87600.000            18.7136961752
87800.000            18.4141645220
88000.000            18.6440028421
88200.000            18.8495504590
88400.000            19.2135101983
88600.000            18.5718329631
88800.000            19.0856187185
89000.000            18.6426353841
89200.000            18.4660988097
89400.000            19.0574477791
89600.000            18.7253451858
89800.000            18.5319747646
90000.000            18.6591642510
90200.000            18.8918903032
90400.000            18.6978053763
90600.000            18.4606662181
90800.000            18.3342747318
91000.000            18.6502671162
91200.000            18.3953775111
91400.000            18.1424559544
91600.000            18.7836288431
91800.000            18.6303848936
92000.000            18.4726593466
92200.000            18.7758240143
92400.000            18.8519548368
92600.000            18.5109155556
92800.000            18.8517515564
93000.000            18.8525628990
93200.000            19.0523230731
93400.000            17.9914737069
93600.000            18.2197467442
93800.000            18.5076370365
94000.000            18.1599657619
94200.000            18.2335500645
94400.000            18.4731888956
94600.000            18.5917980871
94800.000            18.8969252290
95000.000            19.2129024919
95200.000            18.1639213091
95400.000            18.2218244383
95600.000            18.8449762349
95800.000            18.8308196052
96000.000            18.7423601348
96200.000            18.5800689029
96400.000            18.5820160184
96600.000            18.7871771179
96800.000            18.7663376154
97000.000            18.5882228308
97200.000            18.7355224297
97400.000            18.4446303714
97600.000            18.8408021672
97800.000            18.8674886497
98000.000            19.0452202377
98200.000            18.7595031125
98400.000            19.1270465880
98600.000            18.6504769789
98800.000            18.6781744671
99000.000            18.5553263930
99200.000            18.5473782954
99400.000            18.6848223529
99600.000            18.5140420888
99800.000            18.9112783789
100000.000            18.4640175576
100200.000            18.2553758446
100400.000            18.7948367210
