# lambba_val.val 0.5625
#time (ps)      gradients (kcal/mol*lam)
0.000            0.4056565800
200.000            0.3872976178
400.000            0.3799759280
600.000            0.3995480656
800.000            0.4198820919
1000.000            0.3925916846
1200.000            0.4004526124
1400.000            0.4191387309
1600.000            0.3810477684
1800.000            0.3195260293
2000.000            0.3259593013
2200.000            0.3592475324
2400.000            0.3853047055
2600.000            0.3370912574
2800.000            0.3346705810
3000.000            0.3393863702
3200.000            0.3566171487
3400.000            0.3196011992
3600.000            0.3711546658
3800.000            0.3292647414
4000.000            0.3234671903
4200.000            0.3375219361
4400.000            0.3405197675
4600.000            0.3517275642
4800.000            0.3724142749
5000.000            0.3809314764
5200.000            0.3594424936
5400.000            0.3316627213
5600.000            0.3443328625
5800.000            0.3697385907
6000.000            0.3441887706
6200.000            0.3976495221
6400.000            0.4302435946
6600.000            0.3649819035
6800.000            0.3791913191
7000.000            0.3912519405
7200.000            0.3968879376
7400.000            0.4253582169
7600.000            0.4779684831
7800.000            0.4329429543
8000.000            0.4174224240
8200.000            0.4256300801
8400.000            0.3458542224
8600.000            0.3965882923
8800.000            0.3941959245
9000.000            0.4129353472
9200.000            0.3711022808
9400.000            0.4409388667
9600.000            0.4262342356
9800.000            0.3428404037
10000.000            0.3208609518
10200.000            0.3517398013
10400.000            0.3350527220
10600.000            0.3278930737
10800.000            0.3502782864
11000.000            0.3501392101
11200.000            0.3418045969
11400.000            0.3613837034
11600.000            0.3438522028
11800.000            0.3648518011
12000.000            0.3410811144
12200.000            0.3536780070
12400.000            0.3700288464
12600.000            0.3421315160
12800.000            0.3717675195
13000.000            0.3204853888
13200.000            0.3424270281
13400.000            0.3600591442
13600.000            0.3541430696
13800.000            0.3483386451
14000.000            0.3544816726
14200.000            0.3421803822
14400.000            0.3885910890
14600.000            0.3446292718
14800.000            0.3925978726
15000.000            0.3864916377
15200.000            0.4336406852
15400.000            0.4904813173
15600.000            0.3740195087
15800.000            0.3518669708
16000.000            0.3668912324
16200.000            0.3688849405
16400.000            0.3830831627
16600.000            0.3634425502
16800.000            0.3425047977
17000.000            0.3668745223
17200.000            0.3278180894
17400.000            0.3373000562
17600.000            0.3316985978
17800.000            0.3251571110
18000.000            0.3615866796
18200.000            0.3468327596
18400.000            0.3790487061
18600.000            0.3644668717
18800.000            0.4050626104
19000.000            0.4149758507
19200.000            0.3889485417
19400.000            0.3764364338
19600.000            0.4191124301
19800.000            0.4137321340
20000.000            0.3815190670
20200.000            0.3735952866
20400.000            0.3322542317
20600.000            0.3569148477
20800.000            0.3399827829
21000.000            0.3434667694
21200.000            0.3606377266
21400.000            0.3345575700
21600.000            0.3599458006
21800.000            0.3382673513
22000.000            0.3573937859
22200.000            0.3477905963
22400.000            0.3631989731
22600.000            0.3734843007
22800.000            0.3959201094
23000.000            0.3651779007
23200.000            0.3596219141
23400.000            0.3580753096
23600.000            0.3222701469
23800.000            0.3737062310
24000.000            0.3454229874
24200.000            0.3422318505
24400.000            0.3214731353
24600.000            0.3269835813
24800.000            0.3900130431
25000.000            0.4233946237
25200.000            0.4100457299
25400.000            0.3887105293
25600.000            0.3777522142
25800.000            0.4059426372
26000.000            0.3941177280
26200.000            0.4051640004
26400.000            0.4251926957
26600.000            0.4157579507
26800.000            0.3687808115
27000.000            0.3312342231
27200.000            0.3508171011
27400.000            0.3543750305
27600.000            0.3454273246
27800.000            0.3492169493
28000.000            0.3470842580
28200.000            0.3421716870
28400.000            0.3431318264
28600.000            0.3586587243
28800.000            0.3863542497
29000.000            0.3724623251
29200.000            0.3461612297
29400.000            0.3395645922
29600.000            0.3547150069
29800.000            0.3410565500
30000.000            0.3491803896
30200.000            0.3428278030
30400.000            0.3857460410
30600.000            0.3147785211
30800.000            0.3804040966
31000.000            0.3435632707
31200.000            0.3661910975
31400.000            0.3423366377
31600.000            0.3378123537
31800.000            0.3625329368
32000.000            0.3763929023
32200.000            0.3506025015
32400.000            0.3706572201
32600.000            0.3630479757
32800.000            0.4150849467
33000.000            0.3733066919
33200.000            0.3444638070
33400.000            0.3474204077
33600.000            0.3386684269
33800.000            0.3796807825
34000.000            0.3425313623
34200.000            0.3601564377
34400.000            0.3322049605
34600.000            0.3226125273
34800.000            0.3318972113
35000.000            0.3368066198
35200.000            0.3663410589
35400.000            0.3689046382
35600.000            0.3717685703
35800.000            0.3407708129
36000.000            0.3954131792
36200.000            0.3625076839
36400.000            0.3283224377
36600.000            0.3344898364
36800.000            0.3621870880
37000.000            0.3346877780
37200.000            0.3606005781
37400.000            0.3401464296
37600.000            0.3466818049
37800.000            0.3612780789
38000.000            0.3907589647
38200.000            0.4352659381
38400.000            0.4538767569
38600.000            0.4298816938
38800.000            0.4090787924
39000.000            0.3988508915
39200.000            0.3878138154
39400.000            0.3972757768
39600.000            0.3239101785
39800.000            0.3701378594
40000.000            0.3700138993
40200.000            0.3802400372
40400.000            0.3620950686
40600.000            0.3439254418
40800.000            0.3257212343
41000.000            0.3747429480
41200.000            0.3568745273
41400.000            0.3709796875
41600.000            0.3778962889
41800.000            0.3570771020
42000.000            0.3310073128
42200.000            0.3391698505
42400.000            0.3485196850
42600.000            0.3511397488
42800.000            0.3306332680
43000.000            0.3336516279
43200.000            0.5425983985
43400.000            0.4286867395
43600.000            0.3910554730
43800.000            0.3954468225
44000.000            0.4017348942
44200.000            0.3891161537
44400.000            0.3218610943
44600.000            0.3785149978
44800.000            0.3611731570
45000.000            0.3900320084
45200.000            0.3803639849
45400.000            0.3561120769
45600.000            0.3470531112
45800.000            0.3603116353
46000.000            0.3440328946
46200.000            0.3745004145
46400.000            0.3990375098
46600.000            0.3736275227
46800.000            0.3738486998
47000.000            0.4016814614
47200.000            0.3440009290
47400.000            0.4790741256
47600.000            0.4491397952
47800.000            0.3736735958
48000.000            0.3698605726
48200.000            0.4620823896
48400.000            0.3723067231
48600.000            0.3783372117
48800.000            0.4654295099
49000.000            0.4716271308
49200.000            0.4035678270
49400.000            0.3975876533
49600.000            0.4105886149
49800.000            0.4078293652
50000.000            0.3880332895
50200.000            0.4079859717
50400.000            0.4644181164
50600.000            0.3898246754
50800.000            0.3921898832
51000.000            0.4457871736
51200.000            0.4433404177
51400.000            0.4079928339
51600.000            0.4871102315
51800.000            0.3651391588
52000.000            0.3311483757
52200.000            0.3348725769
52400.000            0.3339979992
52600.000            0.3745420603
52800.000            0.3689406730
53000.000            0.3649803208
53200.000            0.3655777896
53400.000            0.3442276358
53600.000            0.3521018047
53800.000            0.3711835509
54000.000            0.3453101585
54200.000            0.3483524175
54400.000            0.3183814919
54600.000            0.3973284245
54800.000            0.4110959300
55000.000            0.3968376209
55200.000            0.4289426605
55400.000            0.4364100243
55600.000            0.4333728164
55800.000            0.3795359760
