# lambba_val.val 0.4375
#time (ps)      gradients (kcal/mol*lam)
0.000            11.9297153334
200.000            12.0588833643
400.000            11.8669091023
600.000            12.3714885327
800.000            11.8994486727
1000.000            12.1044353116
1200.000            11.8532773369
1400.000            11.9642746025
1600.000            12.0979446894
1800.000            11.8291546306
2000.000            11.8927548887
2200.000            11.8231840101
2400.000            12.1447589558
2600.000            11.9424398681
2800.000            11.9193446529
3000.000            11.7839466826
3200.000            11.6014478490
3400.000            11.9421377939
3600.000            11.9996925356
3800.000            11.9411776676
4000.000            11.8180234276
4200.000            11.6595560376
4400.000            11.3709610834
4600.000            11.8173211970
4800.000            11.9534321312
5000.000            11.9387283404
5200.000            11.3220943254
5400.000            11.9751758994
5600.000            11.6301987424
5800.000            11.7510854690
6000.000            11.7265078131
6200.000            11.6530814264
6400.000            11.9631442259
6600.000            11.8788026661
6800.000            11.7480953258
7000.000            11.8898644288
7200.000            12.0411572304
7400.000            11.8039122217
7600.000            11.8168724739
7800.000            12.1413253672
8000.000            11.6532070831
8200.000            12.1388671450
8400.000            12.1831505467
8600.000            12.2062658646
8800.000            12.0724981699
9000.000            12.0552969596
9200.000            12.0706503819
9400.000            12.1821698433
9600.000            12.1077602626
9800.000            11.9257920454
10000.000            11.5605722404
10200.000            12.0890640400
10400.000            12.1728579050
10600.000            11.9265219098
10800.000            11.9786290570
11000.000            11.8103444334
11200.000            11.6899385705
11400.000            11.8354345006
11600.000            12.0642631789
11800.000            12.0226411612
12000.000            11.7062785076
12200.000            11.7688191340
12400.000            11.5292397808
12600.000            12.1167530483
12800.000            12.1316814675
13000.000            12.1144592650
13200.000            11.8033374268
13400.000            12.2060947248
13600.000            12.2244361555
13800.000            11.9677103852
14000.000            12.3299555836
14200.000            12.2246562771
14400.000            12.0273868809
14600.000            11.8382879573
14800.000            11.8249244058
15000.000            12.1438517251
15200.000            11.8893698668
15400.000            11.8305216735
15600.000            12.0706660371
15800.000            12.3365642721
16000.000            11.9465720700
16200.000            12.0109979620
16400.000            11.8457200263
16600.000            12.3737065306
16800.000            11.9522049770
17000.000            12.2475906707
17200.000            12.1052921373
17400.000            11.9373309952
17600.000            11.6853982067
17800.000            12.1141090392
18000.000            11.9990254699
