# lambba_val.val 0.2500
#time (ps)      gradients (kcal/mol*lam)
0.000            8.9214492232
200.000            8.4503652792
400.000            7.8142240548
600.000            7.9453651746
800.000            7.7652925412
1000.000            7.8798418175
1200.000            7.5203691313
1400.000            7.4292105621
1600.000            8.2495291659
1800.000            8.0708264811
2000.000            8.4626663526
2200.000            7.6720849791
2400.000            8.3655503868
2600.000            7.8627169263
2800.000            7.5009658155
3000.000            8.1718541714
3200.000            7.8889298983
3400.000            8.1732127937
3600.000            7.3620847411
3800.000            7.6817974889
4000.000            7.1490229247
4200.000            7.8479845529
4400.000            8.0084817819
4600.000            7.8949091173
4800.000            8.5339572870
5000.000            8.1326592434
5200.000            7.7549930800
5400.000            8.4628811372
5600.000            8.4289424426
5800.000            9.2094306596
6000.000            8.9022999486
6200.000            8.9203747665
6400.000            7.0397420976
6600.000            7.7489756125
6800.000            8.6775435792
7000.000            8.8438238628
7200.000            8.6739441285
7400.000            8.9827653046
7600.000            8.4416101679
7800.000            8.0781846623
8000.000            8.5365897919
8200.000            8.8286843356
8400.000            8.4575514311
8600.000            8.5475796237
8800.000            9.4571992835
9000.000            9.4207767491
9200.000            9.5269500783
9400.000            8.7171194504
9600.000            8.2913669170
9800.000            8.5878791328
10000.000            7.9510435647
10200.000            8.6978617161
10400.000            8.7967415604
10600.000            8.6160223198
10800.000            8.0505759462
11000.000            7.5186827579
11200.000            7.5761880434
11400.000            6.4791255904
11600.000            7.0034858997
11800.000            7.7525324265
12000.000            7.4323469984
12200.000            7.7929855226
12400.000            7.6300032678
12600.000            7.8994829856
12800.000            7.6946857509
13000.000            7.4579637089
13200.000            7.7201884868
13400.000            8.7559006423
13600.000            8.8972349577
13800.000            8.4744610040
14000.000            8.9317257353
14200.000            7.8376130422
14400.000            7.6367382653
14600.000            7.4132229263
14800.000            7.6661951252
15000.000            7.5989950606
15200.000            7.9846594301
15400.000            9.3834060077
15600.000            7.8586663212
15800.000            7.9195329679
16000.000            7.9398507490
16200.000            7.5786875384
16400.000            7.5743492097
16600.000            7.9244199995
16800.000            7.7520321124
17000.000            7.3638219939
17200.000            8.1026375510
17400.000            7.8781176107
17600.000            8.3652694827
17800.000            7.5178615122
18000.000            8.4961569764
18200.000            8.3258403197
18400.000            8.2461751579
